排名,中文名,英文名,标签,地址,行业,分数,办学层次,Logo
1,清华大学,Tsinghua University,双一流/985/211,北京,综合,992.6,36.1,https://www.shanghairanking.cn/_uni/logo/27532357.png
2,北京大学,Peking University,双一流/985/211,北京,综合,898.6,34.9,https://www.shanghairanking.cn/_uni/logo/86350223.png
3,浙江大学,Zhejiang University,双一流/985/211,浙江,综合,793.8,34.9,https://www.shanghairanking.cn/_uni/logo/88311656.png
4,上海交通大学,Shanghai Jiao Tong University,双一流/985/211,上海,综合,776.3,35.6,https://www.shanghairanking.cn/_uni/logo/27403919.png
5,复旦大学,Fudan University,双一流/985/211,上海,综合,697.0,36.6,https://www.shanghairanking.cn/_uni/logo/28312850.png
6,南京大学,Nanjing University,双一流/985/211,江苏,综合,656.1,37.1,https://www.shanghairanking.cn/_uni/logo/44696062.png
7,中国科学技术大学,University of Science and Technology of China,双一流/985/211,安徽,理工,578.4,40.0,https://www.shanghairanking.cn/_uni/logo/50132214.png
8,华中科技大学,Huazhong University of Science and Technology,双一流/985/211,湖北,综合,578.0,32.2,https://www.shanghairanking.cn/_uni/logo/69664504.png
9,武汉大学,Wuhan University,双一流/985/211,湖北,综合,577.3,31.7,https://www.shanghairanking.cn/_uni/logo/46182017.png
10,西安交通大学,Xi'an Jiaotong University,双一流/985/211,陕西,综合,566.4,34.6,https://www.shanghairanking.cn/_uni/logo/77584005.png
11,中山大学,Sun Yat-sen University,双一流/985/211,广东,综合,539.6,32.0,https://www.shanghairanking.cn/_uni/logo/46293852.png
12,北京航空航天大学,Beihang University,双一流/985/211,北京,理工,537.2,33.1,https://www.shanghairanking.cn/_uni/logo/22403670.png
13,东南大学,Southeast University,双一流/985/211,江苏,综合,530.7,34.6,https://www.shanghairanking.cn/_uni/logo/82819451.png
14,北京理工大学,Beijing Institute of Technology,双一流/985/211,北京,理工,530.2,33.6,https://www.shanghairanking.cn/_uni/logo/85386135.png
15,四川大学,Sichuan University,双一流/985/211,四川,综合,527.9,30.0,https://www.shanghairanking.cn/_uni/logo/75651370.png
16,哈尔滨工业大学,Harbin Institute of Technology,双一流/985/211,黑龙江,理工,514.1,32.6,https://www.shanghairanking.cn/_uni/logo/88331082.png
17,同济大学,Tongji University,双一流/985/211,上海,综合,509.6,35.2,https://www.shanghairanking.cn/_uni/logo/39174907.png
18,中国人民大学,Renmin University of China,双一流/985/211,北京,综合,508.3,34.3,https://www.shanghairanking.cn/_uni/logo/88617939.png
19,北京师范大学,Beijing Normal University,双一流/985/211,北京,师范,501.4,32.1,https://www.shanghairanking.cn/_uni/logo/38816505.png
20,天津大学,Tianjin University,双一流/985/211,天津,理工,491.5,33.1,https://www.shanghairanking.cn/_uni/logo/74813674.png
21,南开大学,Nankai University,双一流/985/211,天津,综合,481.8,31.8,https://www.shanghairanking.cn/_uni/logo/44629152.png
22,山东大学,Shandong University,双一流/985/211,山东,综合,476.3,29.7,https://www.shanghairanking.cn/_uni/logo/97189370.png
23,西北工业大学,Northwestern Polytechnical University,双一流/985/211,陕西,理工,459.9,33.4,https://www.shanghairanking.cn/_uni/logo/20384817.png
24,厦门大学,Xiamen University,双一流/985/211,福建,综合,458.2,32.1,https://www.shanghairanking.cn/_uni/logo/14008229.png
25,中南大学,Central South University,双一流/985/211,湖南,综合,456.1,30.6,https://www.shanghairanking.cn/_uni/logo/65984093.png
26,吉林大学,Jilin University,双一流/985/211,吉林,综合,443.7,30.5,https://www.shanghairanking.cn/_uni/logo/76557044.png
27,中国农业大学,China Agricultural University,双一流/985/211,北京,农业,440.6,31.5,https://www.shanghairanking.cn/_uni/logo/48410070.png
28,大连理工大学,Dalian University of Technology,双一流/985/211,辽宁,理工,435.7,31.3,https://www.shanghairanking.cn/_uni/logo/54289554.png
29,华东师范大学,East China Normal University,双一流/985/211,上海,师范,431.2,32.6,https://www.shanghairanking.cn/_uni/logo/47430452.png
30,华南理工大学,South China University of Technology,双一流/985/211,广东,理工,430.6,30.4,https://www.shanghairanking.cn/_uni/logo/69348939.png
31,电子科技大学,University of Electronic Science and Technology of China,双一流/985/211,四川,理工,426.1,30.6,https://www.shanghairanking.cn/_uni/logo/55538407.png
32,湖南大学,Hunan University,双一流/985/211,湖南,综合,422.2,30.8,https://www.shanghairanking.cn/_uni/logo/79015808.png
33,重庆大学,Chongqing University,双一流/985/211,重庆,综合,407.5,30.6,https://www.shanghairanking.cn/_uni/logo/79822387.png
34,南方科技大学,Southern University of Science and Technology,双一流,广东,综合,396.4,32.6,https://www.shanghairanking.cn/_uni/logo/22950445.png
35,北京科技大学,University of Science and Technology Beijing,双一流/211,北京,理工,384.8,33.1,https://www.shanghairanking.cn/_uni/logo/96310183.png
36,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,双一流/211,江苏,理工,380.1,30.2,https://www.shanghairanking.cn/_uni/logo-jpg/4506696400.jpg
37,南京理工大学,Nanjing University of Science and Technology,双一流/211,江苏,理工,373.4,31.6,https://www.shanghairanking.cn/_uni/logo/38974419.png
38,兰州大学,Lanzhou University,双一流/985/211,甘肃,综合,367.6,31.8,https://www.shanghairanking.cn/_uni/logo/84317715.png
39,东北大学（沈阳）,Northeastern University (Shenyang),双一流/985/211,辽宁,理工,366.8,32.2,https://www.shanghairanking.cn/_uni/logo/79513869.png
40,西安电子科技大学,Xidian University,双一流/211,陕西,理工,355.4,30.8,https://www.shanghairanking.cn/_uni/logo/88267454.png
41,北京交通大学,Beijing jiaotong University,双一流/211,北京,理工,352.1,31.4,https://www.shanghairanking.cn/_uni/logo/60987143.png
42,上海科技大学,ShanghaiTech University,双一流,上海,综合,348.5,37.4,https://www.shanghairanking.cn/_uni/logo/46886554.png
43,苏州大学,Soochow University,双一流/211,江苏,综合,347.0,29.5,https://www.shanghairanking.cn/_uni/logo/44374737.png
44,华东理工大学,East China University of Science and Technology,双一流/211,上海,理工,341.5,30.9,https://www.shanghairanking.cn/_uni/logo/93042584.png
45,哈尔滨工程大学,Harbin Engineering University,双一流/211,黑龙江,理工,340.9,32.4,https://www.shanghairanking.cn/_uni/logo/86980791.png
46,东北师范大学,Northeast Normal University,双一流/211,吉林,师范,340.8,31.6,https://www.shanghairanking.cn/_uni/logo/12611652.png
47,华中农业大学,Huazhong Agricultural University,双一流/211,湖北,农业,338.1,30.3,https://www.shanghairanking.cn/_uni/logo/20950268.png
48,中国石油大学（北京）,"China University of Petroleum, Beijing",双一流/211,北京,理工,331.4,32.5,https://www.shanghairanking.cn/_uni/logo-jpg/6662428200.jpg
49,南京农业大学,Nanjing Agricultural University,双一流/211,江苏,农业,330.8,29.5,https://www.shanghairanking.cn/_uni/logo/43891811.png
50,郑州大学,Zhengzhou University,双一流/211,河南,综合,326.1,29.1,https://www.shanghairanking.cn/_uni/logo/68963418.png
51,暨南大学,Jinan University,双一流/211,广东,综合,323.4,29.0,https://www.shanghairanking.cn/_uni/logo/78175531.png
52,南京师范大学,Nanjing Normal University,双一流/211,江苏,师范,322.7,30.6,https://www.shanghairanking.cn/_uni/logo/27072054.png
52,武汉理工大学,Wuhan University of Technology,双一流/211,湖北,理工,322.7,29.3,https://www.shanghairanking.cn/_uni/logo/16563358.png
54,中国矿业大学,China University of Mining and Technology,双一流/211,江苏,理工,321.7,27.6,https://www.shanghairanking.cn/_uni/logo/15914272.png
55,江南大学,Jiangnan University,双一流/211,江苏,综合,321.4,28.7,https://www.shanghairanking.cn/_uni/logo/92884896.png
56,上海大学,Shanghai University,双一流/211,上海,综合,320.6,31.8,https://www.shanghairanking.cn/_uni/logo/94139385.png
57,中国海洋大学,Ocean University of China,双一流/985/211,山东,综合,319.1,31.6,https://www.shanghairanking.cn/_uni/logo/53553512.png
58,华中师范大学,Central China Normal University,双一流/211,湖北,师范,318.5,30.5,https://www.shanghairanking.cn/_uni/logo/58510682.png
59,西南交通大学,Southwest Jiaotong University,双一流/211,四川,理工,317.0,29.2,https://www.shanghairanking.cn/_uni/logo/29218271.png
60,中国石油大学（华东）,China University of Petroleum (East China),双一流/211,山东,理工,313.9,28.4,https://www.shanghairanking.cn/_uni/logo/92620812.png
61,中国地质大学（武汉）,China University of Geosciences,双一流/211,湖北,理工,313.2,30.4,https://www.shanghairanking.cn/_uni/logo/25952542.png
62,陕西师范大学,Shaanxi Normal University,双一流/211,陕西,师范,312.6,29.7,https://www.shanghairanking.cn/_uni/logo/22611416.png
63,北京邮电大学,Beijing University of Posts and Telecommunications,双一流/211,北京,理工,311.3,27.4,https://www.shanghairanking.cn/_uni/logo/15344334.png
64,浙江工业大学,Zhejiang University of Technology,,浙江,理工,309.7,30.7,https://www.shanghairanking.cn/_uni/logo/19897860.png
65,河海大学,Hohai University,双一流/211,江苏,理工,307.7,31.0,https://www.shanghairanking.cn/_uni/logo/76817036.png
66,北京工业大学,Beijing University of Technology,双一流/211,北京,理工,306.1,31.3,https://www.shanghairanking.cn/_uni/logo/10211810.png
67,西北大学（西安）,Northwest University,双一流/211,陕西,综合,305.2,29.3,https://www.shanghairanking.cn/_uni/logo/15797720.png
68,北京化工大学,Beijing University of Chemical Technology,双一流/211,北京,理工,300.9,29.0,https://www.shanghairanking.cn/_uni/logo/46052210.png
69,西南大学,Southwest University,双一流/211,重庆,综合,300.6,27.3,https://www.shanghairanking.cn/_uni/logo/68012227.png
70,云南大学,Yunnan University,双一流/211,云南,综合,297.8,31.9,https://www.shanghairanking.cn/_uni/logo/31586909.png
71,南昌大学,Nanchang University,双一流/211,江西,综合,297.0,27.7,https://www.shanghairanking.cn/_uni/logo/25119833.png
72,深圳大学,Shenzhen University,,广东,综合,296.4,28.0,https://www.shanghairanking.cn/_uni/logo/88823168.png
73,西北农林科技大学,Northwest A&F University,双一流/985/211,陕西,农业,292.4,29.8,https://www.shanghairanking.cn/_uni/logo/25536937.png
74,中国地质大学（北京）,China University of Geosciences Beijing,双一流/211,北京,理工,291.4,32.6,https://www.shanghairanking.cn/_uni/logo/21004246.png
75,华北电力大学,North China Electric Power University,双一流/211,北京,理工,286.4,28.9,https://www.shanghairanking.cn/_uni/logo/13312897.png
76,东华大学,Donghua University,双一流/211,上海,理工,282.8,29.5,https://www.shanghairanking.cn/_uni/logo/41255312.png
77,中国矿业大学（北京）,China University of Mining & Technology-Beijing,双一流/211,北京,理工,282.3,27.4,https://www.shanghairanking.cn/_uni/logo/61910568.png
78,宁波大学,Ningbo University,双一流,浙江,综合,281.3,28.5,https://www.shanghairanking.cn/_uni/logo/83052172.png
79,华南师范大学,South China Normal University,双一流/211,广东,师范,280.8,28.1,https://www.shanghairanking.cn/_uni/logo/47317168.png
80,江苏大学,Jiangsu University,,江苏,综合,280.2,27.2,https://www.shanghairanking.cn/_uni/logo/28154997.png
81,福州大学,Fuzhou University,双一流/211,福建,理工,277.5,30.0,https://www.shanghairanking.cn/_uni/logo/77372849.png
82,扬州大学,Yangzhou University,,江苏,综合,271.8,26.6,https://www.shanghairanking.cn/_uni/logo/61656418.png
83,合肥工业大学,Hefei University of Technology,双一流/211,安徽,理工,270.2,27.4,https://www.shanghairanking.cn/_uni/logo/55155531.png
84,北京林业大学,Beijing Forestry University,双一流/211,北京,林业,269.6,28.1,https://www.shanghairanking.cn/_uni/logo/43861010.png
85,南京邮电大学,Nanjing University of Posts and Telecommunications,双一流,江苏,理工,268.0,26.4,https://www.shanghairanking.cn/_uni/logo/19754745.png
86,湖南师范大学,Hunan Normal University,双一流/211,湖南,师范,263.7,28.1,https://www.shanghairanking.cn/_uni/logo/60718001.png
87,福建师范大学,Fujian Normal University,,福建,师范,263.1,27.5,https://www.shanghairanking.cn/_uni/logo/63841113.png
88,浙江师范大学,Zhejiang Normal University,,浙江,师范,262.4,26.6,https://www.shanghairanking.cn/_uni/logo/34648327.png
89,南京工业大学,Nanjing Tech University,,江苏,理工,258.9,27.2,https://www.shanghairanking.cn/_uni/logo/18208126.png
90,广西大学,Guangxi University,双一流/211,广西,综合,257.6,29.5,https://www.shanghairanking.cn/_uni/logo/22864185.png
91,首都师范大学,Capital Normal University,双一流,北京,师范,257.3,30.2,https://www.shanghairanking.cn/_uni/logo/66860048.png
92,长安大学,Chang'an University,双一流/211,陕西,理工,257.0,28.6,https://www.shanghairanking.cn/_uni/logo/22876250.png
93,南京林业大学,Nanjing Forestry University,双一流,江苏,林业,253.0,24.8,https://www.shanghairanking.cn/_uni/logo/34561912.png
94,华南农业大学,South China Agricultural University,双一流,广东,农业,251.9,25.5,https://www.shanghairanking.cn/_uni/logo/90236014.png
95,安徽大学,Anhui University,双一流/211,安徽,综合,249.5,28.2,https://www.shanghairanking.cn/_uni/logo/13378567.png
95,贵州大学,Guizhou University,双一流/211,贵州,综合,249.5,26.9,https://www.shanghairanking.cn/_uni/logo/47002167.png
97,杭州电子科技大学,Hangzhou Dianzi University,,浙江,理工,248.2,27.8,https://www.shanghairanking.cn/_uni/logo/47982726.png
98,广州大学,Guangzhou University,,广东,综合,247.7,25.0,https://www.shanghairanking.cn/_uni/logo/65301006.png
99,河南大学,Henan University,双一流,河南,综合,247.6,26.5,https://www.shanghairanking.cn/_uni/logo/80055117.png
100,广东工业大学,Guangdong University of Technology,,广东,理工,247.2,25.8,https://www.shanghairanking.cn/_uni/logo/47705257.png
101,山西大学,Shanxi University,双一流,山西,综合,247.0,,https://www.shanghairanking.cn/_uni/logo/45548865.png
102,湘潭大学,Xiangtan University,双一流,湖南,综合,246.6,,https://www.shanghairanking.cn/_uni/logo/94973363.png
103,南京信息工程大学,Nanjing University of Information Science & Technology,双一流,江苏,理工,245.9,,https://www.shanghairanking.cn/_uni/logo/59759082.png
104,海南大学,Hainan University,双一流/211,海南,综合,245.7,,https://www.shanghairanking.cn/_uni/logo/32937649.png
105,山东师范大学,Shandong Normal University,,山东,师范,245.4,,https://www.shanghairanking.cn/_uni/logo/91702072.png
105,浙江理工大学,Zhejiang Sci-Tech University,,浙江,理工,245.4,,https://www.shanghairanking.cn/_uni/logo/16934191.png
107,上海理工大学,University of Shanghai for Science and Technology,,上海,理工,244.8,,https://www.shanghairanking.cn/_uni/logo/13304999.png
108,太原理工大学,Taiyuan University of Technology,双一流/211,山西,理工,243.5,,https://www.shanghairanking.cn/_uni/logo/32584796.png
109,河北工业大学,Hebei University of Technology,双一流/211,河北,理工,241.0,,https://www.shanghairanking.cn/_uni/logo/23684464.png
110,青岛大学,Qingdao University,,山东,综合,239.9,,https://www.shanghairanking.cn/_uni/logo/17947921.png
111,大连海事大学,Dalian Maritime University,双一流/211,辽宁,综合,238.5,,https://www.shanghairanking.cn/_uni/logo/30113036.png
112,燕山大学,Yanshan University,,河北,理工,237.5,,https://www.shanghairanking.cn/_uni/logo/79375733.png
113,东北林业大学,Northeast Forestry University,双一流/211,黑龙江,林业,237.3,,https://www.shanghairanking.cn/_uni/logo/23921267.png
114,西安建筑科技大学,Xi'an University of Architecture and Technology,,陕西,理工,236.9,,https://www.shanghairanking.cn/_uni/logo/16154228.png
115,昆明理工大学,Kunming University of Science and Technology,,云南,理工,232.5,,https://www.shanghairanking.cn/_uni/logo/50829319.png
116,内蒙古大学,Inner Mongolia University,双一流/211,内蒙古,综合,231.7,,https://www.shanghairanking.cn/_uni/logo/53570063.png
117,江西师范大学,Jiangxi Normal University,,江西,师范,230.8,,https://www.shanghairanking.cn/_uni/logo/81455706.png
118,西安理工大学,Xi'an University of Technology,,陕西,理工,230.7,,https://www.shanghairanking.cn/_uni/logo/41922592.png
119,上海师范大学,Shanghai Normal University,,上海,师范,230.0,,https://www.shanghairanking.cn/_uni/logo/69056215.png
120,杭州师范大学,Hangzhou Normal University,,浙江,师范,227.7,,https://www.shanghairanking.cn/_uni/logo/19604361.png
121,东北农业大学,Northeast Agricultural University,双一流/211,黑龙江,农业,222.8,,https://www.shanghairanking.cn/_uni/logo/52533406.png
122,武汉科技大学,Wuhan University of Science and Technology,,湖北,理工,222.4,,https://www.shanghairanking.cn/_uni/logo/80614446.png
123,山东科技大学,Shandong University of Science and Technology,,山东,理工,221.2,,https://www.shanghairanking.cn/_uni/logo/69243726.png
124,陕西科技大学,Shaanxi University of Science and Technology,,陕西,理工,221.0,,https://www.shanghairanking.cn/_uni/logo/10933822.png
125,福建农林大学,Fujian Agriculture and Forestry University,,福建,农业,218.2,,https://www.shanghairanking.cn/_uni/logo/45877801.png
126,长沙理工大学,Changsha University of Science and Technology,,湖南,理工,217.7,,https://www.shanghairanking.cn/_uni/logo/12224674.png
126,河北大学,Hebei University,,河北,综合,217.7,,https://www.shanghairanking.cn/_uni/logo/93335325.png
128,宁夏大学,Ningxia University,双一流/211,宁夏,综合,217.4,,https://www.shanghairanking.cn/_uni/logo/26171919.png
129,新疆大学,Xinjiang University,双一流/211,新疆,综合,216.8,,https://www.shanghairanking.cn/_uni/logo/17029370.png
130,西南石油大学,Southwest Petroleum University,双一流,四川,理工,216.4,,https://www.shanghairanking.cn/_uni/logo/43387859.png
131,辽宁大学,Liaoning University,双一流/211,辽宁,综合,216.1,,https://www.shanghairanking.cn/_uni/logo/38214321.png
132,温州大学,Wenzhou University,,浙江,综合,216.0,,https://www.shanghairanking.cn/_uni/logo/87896146.png
133,湖北大学,Hubei University,,湖北,综合,215.5,,https://www.shanghairanking.cn/_uni/logo/88139185.png
134,四川农业大学,Sichuan Agricultural University,双一流/211,四川,农业,210.0,,https://www.shanghairanking.cn/_uni/logo/22750663.png
135,长春理工大学,Changchun University of Science and Technology,,吉林,理工,209.9,,https://www.shanghairanking.cn/_uni/logo/89241049.png
136,石河子大学,Shihezi University,双一流/211,新疆,综合,209.4,,https://www.shanghairanking.cn/_uni/logo/87170098.png
136,中国计量大学,China Jiliang University,,浙江,理工,209.4,,https://www.shanghairanking.cn/_uni/logo/30667767.png
138,天津工业大学,Tiangong University,双一流,天津,理工,208.2,,https://www.shanghairanking.cn/_uni/logo/66317793.png
139,安徽师范大学,Anhui Normal University,,安徽,师范,206.9,,https://www.shanghairanking.cn/_uni/logo/34817561.png
139,江苏科技大学,Jiangsu University of Science and Technology,,江苏,理工,206.9,,https://www.shanghairanking.cn/_uni/logo/20300251.png
141,天津师范大学,Tianjin Normal University,,天津,师范,206.5,,https://www.shanghairanking.cn/_uni/logo/97894665.png
142,齐鲁工业大学,Qilu University of Technology,,山东,理工,205.8,,https://www.shanghairanking.cn/_uni/logo/90803100.png
143,江苏师范大学,Jiangsu Normal University,,江苏,师范,205.3,,https://www.shanghairanking.cn/_uni/logo/43285571.png
144,山东农业大学,Shandong Agricultural University,,山东,农业,205.2,,https://www.shanghairanking.cn/_uni/logo/29659511.png
145,上海海洋大学,Shanghai Ocean University,双一流,上海,农业,204.4,,https://www.shanghairanking.cn/_uni/logo/47534017.png
146,湖北工业大学,Hubei University of Technology,,湖北,理工,202.1,,https://www.shanghairanking.cn/_uni/logo/28021393.png
147,浙江农林大学,Zhejiang A&F University,,浙江,林业,201.7,,https://www.shanghairanking.cn/_uni/logo/72636185.png
148,河南农业大学,Henan Agricultural University,,河南,农业,201.4,,https://www.shanghairanking.cn/_uni/logo/20942432.png
149,常州大学,Changzhou University,,江苏,理工,200.9,,https://www.shanghairanking.cn/_uni/logo/80008528.png
150,沈阳农业大学,Shenyang Agricultural University,,辽宁,农业,200.8,,https://www.shanghairanking.cn/_uni/logo/71980553.png
151,河南师范大学,Henan Normal University,,河南,师范,200.5,,https://www.shanghairanking.cn/_uni/logo/83132958.png
152,重庆邮电大学,Chongqing University of Posts and Telecommunications,,重庆,理工,200.4,,https://www.shanghairanking.cn/_uni/logo/60895367.png
153,安徽农业大学,Anhui Agricultural University,,安徽,农业,199.2,,https://www.shanghairanking.cn/_uni/logo/63075474.png
154,成都理工大学,Chengdu University of Technology,双一流,四川,理工,198.8,,https://www.shanghairanking.cn/_uni/logo/46566063.png
155,广西师范大学,Guangxi Normal University,,广西,师范,198.0,,https://www.shanghairanking.cn/_uni/logo/54671948.png
156,黑龙江大学,Heilongjiang University,,黑龙江,综合,197.6,,https://www.shanghairanking.cn/_uni/logo/73169357.png
157,北京建筑大学,Beijing University of Civil Engineering and Architecture,,北京,理工,196.3,,https://www.shanghairanking.cn/_uni/logo/88552972.png
158,武汉工程大学,Wuhan Institute of Technology,,湖北,理工,196.0,,https://www.shanghairanking.cn/_uni/logo/44707995.png
159,南通大学,Nantong University,,江苏,综合,195.7,,https://www.shanghairanking.cn/_uni/logo/39196558.png
160,河北师范大学,Hebei Normal University,,河北,师范,194.5,,https://www.shanghairanking.cn/_uni/logo/91541508.png
161,天津科技大学,Tianjin University of Science and Technology,,天津,理工,194.1,,https://www.shanghairanking.cn/_uni/logo/19351758.png
162,青岛科技大学,Qingdao University of Science and Technology,,山东,理工,193.7,,https://www.shanghairanking.cn/_uni/logo/56581722.png
163,华侨大学,Huaqiao University,,福建,综合,193.1,,https://www.shanghairanking.cn/_uni/logo/22700357.png
164,河南科技大学,Henan University of Science and Technology,,河南,综合,192.9,,https://www.shanghairanking.cn/_uni/logo/15231544.png
165,延边大学,Yanbian University,双一流/211,吉林,综合,192.4,,https://www.shanghairanking.cn/_uni/logo/80498016.png
166,汕头大学,Shantou University,,广东,综合,192.2,,https://www.shanghairanking.cn/_uni/logo/34125242.png
167,武汉纺织大学,Wuhan Textile University,,湖北,理工,192.1,,https://www.shanghairanking.cn/_uni/logo/90958165.png
168,江西理工大学,Jiangxi University of Science and Technology,,江西,理工,191.9,,https://www.shanghairanking.cn/_uni/logo/17877939.png
169,西安科技大学,Xi'an University of Science and Technology,,陕西,理工,191.6,,https://www.shanghairanking.cn/_uni/logo/98750379.png
170,集美大学,Jimei University,,福建,综合,191.2,,https://www.shanghairanking.cn/_uni/logo/50079480.png
171,西北师范大学,Northwest Normal University China,,甘肃,师范,190.7,,https://www.shanghairanking.cn/_uni/logo/37657107.png
172,湖南农业大学,Hunan Agricultural University,,湖南,农业,190.3,,https://www.shanghairanking.cn/_uni/logo/66911347.png
173,青海大学,Qinghai University,双一流/211,青海,综合,189.7,,https://www.shanghairanking.cn/_uni/logo/68094541.png
174,辽宁师范大学,Liaoning Normal University,,辽宁,师范,188.5,,https://www.shanghairanking.cn/_uni/logo/95713009.png
175,上海海事大学,Shanghai Maritime University,,上海,综合,188.4,,https://www.shanghairanking.cn/_uni/logo/27308396.png
176,吉林农业大学,Jilin Agricultural University,,吉林,农业,188.3,,https://www.shanghairanking.cn/_uni/logo/12157432.png
177,曲阜师范大学,Qufu Normal University,,山东,师范,187.1,,https://www.shanghairanking.cn/_uni/logo/69697043.png
177,三峡大学,China Three Gorges University,,湖北,综合,187.1,,https://www.shanghairanking.cn/_uni/logo/50293135.png
179,华东交通大学,East China Jiaotong University,,江西,理工,186.8,,https://www.shanghairanking.cn/_uni/logo/87418361.png
179,济南大学,University of Jinan,,山东,综合,186.8,,https://www.shanghairanking.cn/_uni/logo/68479674.png
179,中北大学,North University of China,,山西,理工,186.8,,https://www.shanghairanking.cn/_uni/logo/11211551.png
182,南昌航空大学,Nanchang Hangkong University,,江西,理工,185.6,,https://www.shanghairanking.cn/_uni/logo/58177572.png
183,天津理工大学,Tianjin University of Technology,,天津,理工,184.9,,https://www.shanghairanking.cn/_uni/logo/41797414.png
184,湖南科技大学,Hunan University of Science and Technology,,湖南,综合,183.7,,https://www.shanghairanking.cn/_uni/logo/66401420.png
185,安徽工业大学,Anhui University of Technology,,安徽,理工,183.2,,https://www.shanghairanking.cn/_uni/logo/48772206.png
186,长江大学,Yangtze University,,湖北,综合,182.1,,https://www.shanghairanking.cn/_uni/logo/50201974.png
186,兰州理工大学,Lanzhou University of Technology,,甘肃,理工,182.1,,https://www.shanghairanking.cn/_uni/logo/67319577.png
188,重庆交通大学,Chongqing Jiaotong University,,重庆,理工,180.7,,https://www.shanghairanking.cn/_uni/logo/71040976.png
189,沈阳工业大学,Shenyang University of Technology,,辽宁,理工,180.1,,https://www.shanghairanking.cn/_uni/logo/88323331.png
190,烟台大学,Yantai University,,山东,综合,179.6,,https://www.shanghairanking.cn/_uni/logo/78347320.png
191,山东理工大学,Shandong University of Technology,,山东,理工,179.5,,https://www.shanghairanking.cn/_uni/logo/36456722.png
192,安徽理工大学,Anhui University of Science and Technology,,安徽,理工,179.3,,https://www.shanghairanking.cn/_uni/logo/42528928.png
192,西藏大学,Tibet University,双一流/211,西藏,综合,179.3,,https://www.shanghairanking.cn/_uni/logo/71112798.png
194,上海电力大学,Shanghai University of Electric Power,,上海,理工,178.4,,https://www.shanghairanking.cn/_uni/logo/10117000.png
